,cap,chair,laptop,telephone,friend,pen,bed,candles,bicycle,towel,bench,cloud,cake,mirror,clothes,door,sand,fan,hat,field,clock,backpack,water,bottle,exam,speaker,kettlebell,music,kitchen,car,egg,plant,tree,sunglasses,hammer,guitar,ball,wind,cat,rug,path,church,painting,family,toaster,jacuzzi,co-worker,fireworks,bus,table,kayak
speaker,0.0031564254,0.51779217,0.20642294,0.5156449,0.4631106,0.33896875,0.17137326,0.094444074,-0.025639072,0.12311648,0.36349156,0.075797275,0.3216679,0.18489762,0.03718001,0.3728664,-0.049609073,0.32836545,0.065662526,0.20785019,0.27701056,-0.0806077,0.16433136,0.13127288,0.21838287,1.0,-0.27805614,0.35760915,0.30634052,0.17565273,0.15949456,0.123232774,0.07520479,-0.090624034,0.17572139,0.30827707,0.18609959,0.21788496,0.052045874,-0.04337989,0.18265831,0.32659364,0.055772074,0.32276833,0.22404262,0.032982916,0.11418284,0.08706098,0.18654245,0.34472972,-0.25221175
kettlebell,-0.00771641,-0.11180709,0.009068169,-0.2886656,-0.38539034,-0.25691375,-0.12078971,-0.16334644,0.16081634,0.06958011,-0.16193226,-0.08202657,-0.110927746,-0.18352991,-0.086828634,-0.1700323,-0.10610365,-0.1605631,-0.057444446,-0.06533034,0.08149627,0.21137872,-0.11504543,-0.112149715,0.107489675,-0.27805614,1.0,-0.16417828,-0.06878579,-0.1384517,-0.06790176,-0.15932491,-0.29497492,0.014352046,-0.0076745525,0.052913472,-0.07558033,-0.008685179,-0.06948817,0.08656164,-0.10035176,-0.45936978,-0.31181836,-0.47798458,0.14734963,0.14418478,0.123156756,-0.024034746,-0.10615032,-0.13711584,0.24283352
music,0.15368217,0.3351676,0.21657336,0.37843275,0.45744288,0.29224294,0.27922076,0.24099182,0.23131248,0.063194305,0.24626347,0.26303855,0.29824758,0.41738462,0.33975196,0.35286987,0.2300383,0.5312829,0.27073902,0.3759305,0.38028774,-0.062219273,0.30853656,0.23851407,0.2180954,0.35760915,-0.16417828,1.0,0.38056815,0.29621974,0.16391169,0.20596787,0.20115395,0.11658339,0.3317015,0.7736387,0.34000707,0.4674909,0.33486357,0.10302991,0.25101045,0.38452396,0.50605625,0.36060533,0.18298241,0.037683643,0.005483687,0.3671428,0.25248116,0.33693522,0.05271346
kitchen,0.22295794,0.57174325,0.46835083,0.3398609,0.43996227,0.22258437,0.74117756,0.45733914,0.35819286,0.60755265,0.35486025,0.2615466,0.65362453,0.40737388,0.6954786,0.6755768,0.42241904,0.2500139,0.35688952,0.2961403,0.47983912,0.47537005,0.5120447,0.49864504,0.17906305,0.30634052,-0.06878579,0.38056815,1.0,0.44222918,0.48984542,0.37410292,0.47585368,0.30679023,0.31211483,0.3731615,0.363206,0.29213464,0.40302196,0.52557987,0.13692747,0.31348202,0.47288316,0.48115972,0.41898626,0.46262777,0.1674232,0.3142488,0.37497982,0.5942894,0.09797669
car,0.3326453,0.257276,0.54136986,0.494247,0.4347448,0.26361752,0.47918373,0.22553636,0.75602764,0.20879948,0.28517595,0.2986284,0.19816415,0.4040489,0.53772604,0.6814754,0.24260405,0.38565743,0.34982863,0.38395682,0.49505064,0.5201308,0.39965916,0.49474168,0.15145364,0.17565273,-0.1384517,0.29621974,0.44222918,1.0,0.13363269,0.43392015,0.37526724,0.27673274,0.35317972,0.3155635,0.41737902,0.39387426,0.36382526,0.15792245,0.44212544,0.21848512,0.25414488,0.41850483,0.10039088,0.05534235,-0.07556147,0.44466975,0.8210511,0.4214154,0.22187805
egg,0.3398979,0.33029544,0.14034161,0.09775711,0.20702296,0.35419676,0.46967244,0.38237625,0.11780828,0.47514573,0.17000777,0.300315,0.7564413,0.3075426,0.28294566,0.33278945,0.4138284,0.15021712,0.35561588,0.2818224,0.28063056,0.30732363,0.51026535,0.52239466,0.1577384,0.15949456,-0.06790176,0.16391169,0.48984542,0.13363269,1.0000001,0.4696316,0.4837854,0.09918939,0.42878115,0.10993059,0.27620038,0.29089797,0.47025925,0.25766793,0.17397405,0.15018123,0.2750555,0.32804602,0.34602034,0.1965737,0.101652205,0.20247678,0.11617005,0.40943816,0.056030273
plant,0.22733055,0.19090486,0.28821847,0.30364323,0.1889328,0.11887604,0.302948,0.22766261,0.28859723,0.13301189,0.07572624,0.43196338,0.32305652,0.09460322,0.20849864,0.303219,0.37102476,0.22285438,0.07989476,0.40610313,0.2811487,0.15517637,0.60915846,0.36682945,0.02672657,0.123232774,-0.15932491,0.20596787,0.37410292,0.43392015,0.4696316,1.0,0.5361605,-0.09639589,0.2590827,0.15712294,0.08754797,0.46236902,0.24875063,0.109025,0.23226734,0.3098131,0.2640417,0.40993428,0.05930482,0.0722554,-0.17196152,0.31179667,0.34790334,0.25109965,0.04743657
tree,0.39336205,0.36127925,0.2672137,0.15631558,0.32191244,0.36110228,0.6154389,0.42535272,0.3370266,0.32101148,0.24148121,0.534584,0.49486512,0.3577903,0.3884787,0.54772335,0.58050346,0.3533523,0.4715504,0.35601693,0.35319898,0.31545958,0.5945727,0.419967,0.08236762,0.07520479,-0.29497492,0.20115395,0.47585368,0.37526724,0.4837854,0.5361605,1.0,0.19091038,0.3394421,0.23817629,0.33744848,0.40802148,0.56609994,0.32844102,0.533248,0.4158864,0.39127862,0.49351454,-0.02516678,0.1436966,-0.025228437,0.23172605,0.31802082,0.4968351,0.19314042
sunglasses,0.49126673,0.26829368,0.4199337,0.10666778,0.19417709,0.38579768,0.36831516,0.40460622,0.29827243,0.520122,0.28183234,0.26682696,0.22697267,0.4409229,0.68398774,0.40748978,0.18331811,0.24357243,0.5905539,0.079520345,0.19542179,0.5360404,0.12111266,0.4732091,0.03612326,-0.090624034,0.014352046,0.11658339,0.30679023,0.27673274,0.09918939,-0.09639589,0.19091038,1.0,0.10405806,0.20551327,0.355453,0.022707693,0.34419465,0.44870132,0.017425574,0.006792154,0.31433764,0.12015982,0.13741648,0.2470155,0.11563431,0.21354003,0.08993013,0.24018116,0.104059406
hammer,0.40433338,0.45880294,0.07658963,0.057102066,0.3186435,0.47427478,0.27458215,0.24091285,0.28127432,0.3288288,0.27123615,0.25900897,0.3998232,0.35420924,0.20839678,0.49194145,0.42776683,0.2845119,0.39111063,0.361579,0.4238143,0.19611533,0.27614647,0.29540196,0.10827748,0.17572139,-0.0076745525,0.3317015,0.31211483,0.35317972,0.42878115,0.2590827,0.3394421,0.10405806,1.0,0.42646855,0.44061455,0.37753657,0.299424,0.31567097,0.2791061,0.0628348,0.34896055,0.04725423,0.15007767,-0.009336099,-0.034497455,0.32872346,0.16540906,0.40343827,0.18121484
guitar,0.21998686,0.29599866,0.23441318,0.2493267,0.41434705,0.20958914,0.30088246,0.23728316,0.26652643,0.18552025,0.39601117,0.20984861,0.2656765,0.28054252,0.3239204,0.35596538,0.294887,0.47340217,0.35191336,0.349436,0.3803208,0.061663475,0.25273103,0.27380875,0.11246391,0.30827707,0.052913472,0.7736387,0.3731615,0.3155635,0.10993059,0.15712294,0.23817629,0.20551327,0.42646855,1.0,0.4640981,0.49797848,0.29942372,0.14552477,0.18999243,0.21445093,0.33783945,0.19665207,0.19231601,0.13672861,0.15575564,0.24102972,0.23314399,0.25196877,0.11282951
ball,0.5324121,0.43736243,0.26629603,0.239553,0.41213188,0.4031635,0.43948933,0.1543527,0.3753193,0.53442377,0.7291491,0.2907169,0.30271193,0.38077325,0.40446252,0.54375273,0.5440471,0.4805148,0.7267132,0.67743295,0.5333363,0.34297937,0.4744505,0.4861903,0.26212627,0.18609959,-0.07558033,0.34000707,0.363206,0.41737902,0.27620038,0.08754797,0.33744848,0.355453,0.44061455,0.4640981,1.0000001,0.45249325,0.46337318,0.4053351,0.45314988,0.16434412,0.3456455,0.16991964,0.02527238,-0.04373327,-0.09245564,0.2827587,0.35186917,0.5481716,0.13108268
wind,0.36889464,0.2494482,0.12807292,0.3067349,0.20059922,0.30922276,0.4390454,0.25831154,0.31012234,0.24831304,0.2919921,0.60792917,0.31533438,0.36932412,0.17918639,0.3612725,0.62732637,0.39521086,0.1429639,0.49620572,0.514798,0.0038703643,0.7373012,0.32538667,0.15383832,0.21788496,-0.008685179,0.4674909,0.29213464,0.39387426,0.29089797,0.46236902,0.40802148,0.022707693,0.37753657,0.49797848,0.45249325,1.0,0.3989036,0.15620796,0.52490336,0.13057826,0.27671334,0.17127831,0.21038426,0.18801023,-0.32785517,0.4355087,0.35653928,0.27807754,0.20511064
cat,0.40282404,0.29425296,0.2920031,0.14853399,0.44959825,0.50976825,0.54301095,0.1334969,0.3612979,0.37680995,0.19340333,0.35966152,0.37900662,0.39958343,0.43318364,0.39782572,0.41365543,0.4661993,0.6289425,0.24851419,0.33901772,0.3933606,0.4353832,0.48065367,0.22354715,0.052045874,-0.06948817,0.33486357,0.40302196,0.36382526,0.47025925,0.24875063,0.56609994,0.34419465,0.299424,0.29942372,0.46337318,0.3989036,1.0,0.43032378,0.25555876,0.14191929,0.28458312,0.46313947,0.19912183,0.18697987,0.14228371,0.26807618,0.30721325,0.28062597,0.2597332
rug,0.3809253,0.380413,0.22564629,0.04284267,0.027695732,0.30711305,0.4283272,0.28691262,0.27255225,0.6889635,0.18451093,0.13606197,0.44844896,0.27661833,0.5676484,0.40388882,0.44585627,0.016421419,0.5250398,0.14991763,0.3891406,0.44448695,0.29242826,0.42284518,0.037249964,-0.04337989,0.08656164,0.10302991,0.52557987,0.15792245,0.25766793,0.109025,0.32844102,0.44870132,0.31567097,0.14552477,0.4053351,0.15620796,0.43032378,0.99999994,0.0701364,0.07408189,0.34078205,0.089798905,0.36719024,0.15754998,-0.13164783,0.349442,0.10396358,0.31646454,0.14231335
path,0.31806675,0.26706454,0.17987682,0.29541844,0.29685456,0.2533287,0.40896338,0.05685528,0.43320912,0.029327186,0.21337558,0.4411211,0.19597791,0.39102206,0.16556758,0.55177593,0.4339385,0.27477038,0.2489403,0.4723777,0.4790954,0.13679436,0.46341348,0.10208964,0.21870472,0.18265831,-0.10035176,0.25101045,0.13692747,0.44212544,0.17397405,0.23226734,0.533248,0.017425574,0.2791061,0.18999243,0.45314988,0.52490336,0.25555876,0.0701364,1.0,0.35278216,0.29883748,0.2783348,-0.123707145,-0.18141279,-0.17197472,0.10459601,0.45198897,0.39476612,0.17819847
church,0.21777228,0.40379003,0.043107297,0.3016096,0.4097861,0.16728896,0.30968794,0.3545305,0.1069237,0.034414276,0.3866257,0.21833424,0.1008783,0.31106088,0.22351232,0.4499724,0.1033383,0.32232028,0.19888826,0.27411264,0.29884863,-0.04058313,0.24651608,0.1521205,0.11561088,0.32659364,-0.45936978,0.38452396,0.31348202,0.21848512,0.15018123,0.3098131,0.4158864,0.006792154,0.0628348,0.21445093,0.16434412,0.13057826,0.14191929,0.07408189,0.35278216,1.0,0.4010741,0.63352615,-0.13986452,-0.035270028,0.025116108,0.1148736,0.3502531,0.35529023,-0.22344196
painting,0.27101895,0.36243203,0.18870682,0.06623873,0.40601107,0.4600423,0.32619584,0.37430865,0.21988957,0.22563809,0.21794976,0.24889754,0.37200886,0.4430739,0.52544194,0.3576103,0.4456845,0.27165952,0.38097286,0.33764896,0.28387874,0.20044245,0.3583125,0.33794343,0.2208047,0.055772074,-0.31181836,0.50605625,0.47288316,0.25414488,0.2750555,0.2640417,0.39127862,0.31433764,0.34896055,0.33783945,0.3456455,0.27671334,0.28458312,0.34078205,0.29883748,0.4010741,0.99999994,0.37664837,0.13604599,0.01674113,0.02603677,0.3243438,0.06922952,0.3840453,-0.021109875
family,0.14506823,0.33190244,0.27148277,0.47055686,0.7233044,0.16062298,0.49018136,0.23563133,0.19097713,0.10267711,0.23357297,0.19535516,0.30773395,0.2982667,0.4550184,0.4303074,0.15285699,0.40517175,0.23295316,0.2954771,0.22221234,0.106938116,0.33779654,0.25586084,0.06434309,0.32276833,-0.47798458,0.36060533,0.48115972,0.41850483,0.32804602,0.40993428,0.49351454,0.12015982,0.04725423,0.19665207,0.16991964,0.17127831,0.46313947,0.089798905,0.2783348,0.63352615,0.37664837,1.0,-0.032141104,0.062940985,0.2620677,0.10379814,0.34835267,0.36828715,0.029295191
toaster,-0.066289775,-0.011431584,0.32803255,0.07095067,0.0049575344,0.3195588,0.1718631,0.31175184,0.07599212,0.3115654,-0.104256116,0.01394904,0.5507558,0.19310603,0.16339108,0.102396294,0.05687911,0.0045016,0.06348142,-0.043655217,0.31954473,0.27210057,0.049054403,0.40101588,0.011174135,0.22404262,0.14734963,0.18298241,0.41898626,0.10039088,0.34602034,0.05930482,-0.02516678,0.13741648,0.15007767,0.19231601,0.02527238,0.21038426,0.19912183,0.36719024,-0.123707145,-0.13986452,0.13604599,-0.032141104,1.0,0.39716882,0.06456254,0.23026259,-0.0033823792,0.035547584,0.020891719
jacuzzi,0.008370556,0.20765309,0.15393543,-0.012513943,-0.0035524815,0.14140318,0.4187939,0.2968615,0.18081045,0.40031147,0.0629442,0.20439354,0.27929994,0.25921845,0.17576075,0.18439716,0.20543356,0.08544998,0.032623395,-0.10102714,0.05827248,0.15559275,0.23087084,0.32141882,0.07328889,0.032982916,0.14418478,0.037683643,0.46262777,0.05534235,0.1965737,0.0722554,0.1436966,0.2470155,-0.009336099,0.13672861,-0.04373327,0.18801023,0.18697987,0.15754998,-0.18141279,-0.035270028,0.01674113,0.062940985,0.39716882,1.0,0.25591063,0.101230435,0.0011977553,0.21789545,0.3852136
co-worker,-0.31022766,0.117542475,0.15857793,-0.015432522,0.5040268,-0.0011112243,0.09552569,-0.04339493,-0.041464593,0.045734636,-0.03890565,-0.12657332,0.015162412,0.06213966,0.062337503,0.0507585,-0.23519275,0.22913514,0.065474585,-0.18336572,-0.20175879,0.1793542,-0.27444467,-0.039589114,-0.028008573,0.11418284,0.123156756,0.005483687,0.1674232,-0.07556147,0.101652205,-0.17196152,-0.025228437,0.11563431,-0.034497455,0.15575564,-0.09245564,-0.32785517,0.14228371,-0.13164783,-0.17197472,0.025116108,0.02603677,0.2620677,0.06456254,0.25591063,1.0,-0.31867328,-0.102714196,-0.12109175,-0.0012302324
fireworks,0.19475846,0.10062427,0.15577362,0.2375601,0.014036403,0.22585662,0.21825817,0.5933764,0.38151482,0.3384003,0.20491701,0.31057602,0.2627064,0.23512742,0.36892527,0.35900548,0.301877,0.3547361,0.25268558,0.30784988,0.530061,0.277754,0.39188412,0.43615502,0.05451572,0.08706098,-0.024034746,0.3671428,0.3142488,0.44466975,0.20247678,0.31179667,0.23172605,0.21354003,0.32872346,0.24102972,0.2827587,0.4355087,0.26807618,0.349442,0.10459601,0.1148736,0.3243438,0.10379814,0.23026259,0.101230435,-0.31867328,0.99999994,0.43507838,0.29760927,0.10143787
bus,0.16886349,0.21829742,0.3914563,0.57577753,0.29611918,0.13041385,0.4698354,0.26429585,0.7277323,0.13250709,0.22500916,0.22303487,0.08475875,0.27760118,0.37152347,0.6149663,0.20308948,0.2893826,0.24136227,0.31388205,0.48397595,0.47671807,0.41440862,0.32534897,0.18657118,0.18654245,-0.10615032,0.25248116,0.37497982,0.8210511,0.11617005,0.34790334,0.31802082,0.08993013,0.16540906,0.23314399,0.35186917,0.35653928,0.30721325,0.10396358,0.45198897,0.3502531,0.06922952,0.34835267,-0.0033823792,0.0011977553,-0.102714196,0.43507838,1.0,0.305777,0.2327314
table,0.4720653,0.5915806,0.29889286,0.36040238,0.29751378,0.39425462,0.5605858,0.3465299,0.33676726,0.50626,0.5962733,0.34869185,0.5587729,0.51908636,0.49968988,0.6912089,0.4333612,0.4160234,0.506605,0.50958794,0.47978365,0.2993528,0.51695424,0.47741693,0.415856,0.34472972,-0.13711584,0.33693522,0.5942894,0.4214154,0.40943816,0.25109965,0.4968351,0.24018116,0.40343827,0.25196877,0.5481716,0.27807754,0.28062597,0.31646454,0.39476612,0.35529023,0.3840453,0.36828715,0.035547584,0.21789545,-0.12109175,0.29760927,0.305777,1.0,0.2914047
kayak,0.099193014,0.036817532,0.08747272,0.12691718,-0.007482402,0.19205338,0.2716651,-0.00080441963,0.5419997,0.16894485,-0.1190875,0.058416486,0.16761789,0.084729746,0.10227276,0.15812933,0.31434417,0.12283641,0.17155656,0.13032025,0.11210303,0.21738982,0.17601654,0.106229745,0.22538781,-0.25221175,0.24283352,0.05271346,0.09797669,0.22187805,0.056030273,0.04743657,0.19314042,0.104059406,0.18121484,0.11282951,0.13108268,0.20511064,0.2597332,0.14231335,0.17819847,-0.22344196,-0.021109875,0.029295191,0.020891719,0.3852136,-0.0012302324,0.10143787,0.2327314,0.2914047,0.99999994
